Time (sec)	L-shell	10 MeV/G	32 MeV/G	100 MeV/G	320 MeV/G	1000 MeV/G	3200 MeV/G	10000 MeV/G	32000 MeV/G	100000 MeV/G	320000 MeV/G
343926305	9.8463	0.000356212	5.04815E-05	7.2139E-06	9.16784E-07	1.05793E-07	9.55729E-09	7.28775E-10	4.29181E-11	2.28766E-12	1.02591E-13
326159705	9.8486	0.001778691	0.000138832	1.20177E-05	1.05548E-06	9.97461E-08	8.47118E-09	6.64353E-10	4.16E-11	2.33377E-12	1.07306E-13
411629105	9.8518	0.000733076	0.000112258	1.64912E-05	1.99354E-06	2.0307E-07	1.55074E-08	1.00813E-09	5.22711E-11	2.5659E-12	1.09747E-13
263495705	9.8529	0.002679627	0.000128073	7.29833E-06	4.67135E-07	3.71603E-08	3.07014E-09	2.68097E-10	2.07259E-11	1.48947E-12	8.65801E-14
256830905	9.8547	0.005243923	0.000335209	2.13775E-05	1.22391E-06	7.44365E-08	4.43984E-09	2.92006E-10	1.87022E-11	1.29094E-12	8.52623E-14
291573305	9.8566	0.012463751	0.00051984	2.55636E-05	1.37034E-06	8.84615E-08	5.73055E-09	3.9372E-10	2.49804E-11	1.63094E-12	9.83408E-14
282609305	9.8603	0.000252097	5.50152E-05	1.07861E-05	1.59641E-06	1.81561E-07	1.46784E-08	9.89146E-10	5.32023E-11	2.72531E-12	1.2261E-13
275033105	9.8625	0.10647448	0.002235391	6.04341E-05	1.99915E-06	9.34529E-08	5.03848E-09	3.26483E-10	2.14849E-11	1.55514E-12	1.0901E-13
263455505	9.8644	0.005994455	0.000271726	1.25152E-05	5.93888E-07	3.58477E-08	2.39873E-09	1.88501E-10	1.49853E-11	1.30104E-12	1.0965E-13
279272105	9.8667	0.004510012	0.000212074	1.16829E-05	6.98649E-07	4.98614E-08	3.55611E-09	2.66719E-10	1.8372E-11	1.29116E-12	8.3464E-14
331312505	9.8674	0.003395533	0.000190366	1.23151E-05	8.51373E-07	6.83506E-08	5.3125E-09	4.13149E-10	2.77512E-11	1.78651E-12	9.99284E-14
347301305	9.8702	5.10921E-05	1.54008E-05	4.04971E-06	7.75397E-07	1.07442E-07	1.00147E-08	7.35852E-10	4.14133E-11	2.15238E-12	9.63492E-14
279216905	9.8715	0.000700833	4.87035E-05	3.87274E-06	3.28926E-07	3.22693E-08	3.07842E-09	2.89072E-10	2.2554E-11	1.55848E-12	8.50131E-14
397498505	9.8736	9.60634E-05	2.40759E-05	5.43612E-06	9.34089E-07	1.22335E-07	1.11801E-08	8.23192E-10	4.69166E-11	2.47951E-12	1.13101E-13
